id,username,email,password_hash,full_name,role,permissions,status,avatar_url,phone,department,position,last_login,login_count,is_active,email_verified,two_factor_enabled,created_at,updated_at,is_sandbox,sandbox_expires_at
4,techcorp_developer,developer@techcorp.com,$2b$10$NEMJnicidRjRzPAliheYROGMiruKBj.L2Iky2jDGJP.VRP7fEHJC2,Sara Al-Zahra,developer,"[""read""]",active,,,,,,0,t,f,f,2025-11-03 17:35:37.7534,2025-11-03 17:35:37.7534,f,
5,techcorp_user,user@techcorp.com,$2b$10$kNHlP0IACfaSb7yPN0eRZuHzBIuOlE1nk3478PrQyGNXHez9yFGBe,Omar Al-Mansouri,user,"[""read""]",active,,,,,,0,t,f,f,2025-11-03 17:35:37.7534,2025-11-03 17:35:37.7534,f,
6,techcorp_viewer,viewer@techcorp.com,$2b$10$4GjmD2kn6k96sHJ4Hbib/OqSaO6iT9QWHlFqpfPdVQJtORknRGHy6,Fatima Al-Qasimi,viewer,"[""read""]",active,,,,,,0,t,f,f,2025-11-03 17:35:37.7534,2025-11-03 17:35:37.7534,f,
7,globalfinance_manager,manager@globalfinance.com,$2b$10$fFqS4iYV0E1hCS/TgIdLietFE59WgugebaQsgvD7gMiKWunbLUEqW,Mohammed Al-Maktoum,manager,"[""read""]",active,,,,,,0,t,f,f,2025-11-03 17:35:37.7534,2025-11-03 17:35:37.7534,f,
9,globalfinance_user,user@globalfinance.com,$2b$10$0SXrX8xxuTtD82yDGjDOaeeYjLK.w1BVjqoEUxgZ9HzNArAlnsmuu,Khalid Al-Shamsi,user,"[""read""]",active,,,,,,0,t,f,f,2025-11-03 17:35:37.7534,2025-11-03 17:35:37.7534,f,
10,globalfinance_viewer,viewer@globalfinance.com,$2b$10$uDr.GeD7Y7g4VUQWLbTzm./yVkPBLAcaYQcUi9LS9BHrcBRlGdFFG,Mariam Al-Falasi,viewer,"[""read""]",active,,,,,,0,t,f,f,2025-11-03 17:35:37.7534,2025-11-03 17:35:37.7534,f,
12,healthcareplus_developer,developer@healthcareplus.com,$2b$10$L5t7lza3jgZEfyEtDXxcAOEhDBCHNtXpgQfuSqq8ybkTzIpWNtzYO,Nora Al-Ghamdi,developer,"[""read""]",active,,,,,,0,t,f,f,2025-11-03 17:35:37.7534,2025-11-03 17:35:37.7534,f,
13,healthcareplus_user,user@healthcareplus.com,$2b$10$OtILPH0TzlwtZfxwa4QuEOY9CSE/tOtwQ2CoT1SavXv1FK/udhCyK,Faisal Al-Otaibi,user,"[""read""]",active,,,,,,0,t,f,f,2025-11-03 17:35:37.7534,2025-11-03 17:35:37.7534,f,
14,healthcareplus_viewer,viewer@healthcareplus.com,$2b$10$W2KDAXNqEMF.pzjjt0hDEOfvsnRpUv8ef/ymwuWOo6FqMTJitJJEK,Hala Al-Harbi,viewer,"[""read""]",active,,,,,,0,t,f,f,2025-11-03 17:35:37.7534,2025-11-03 17:35:37.7534,f,
15,manufacturingpro_manager,manager@manufacturingpro.com,$2b$10$1EIs6VfiZ3LhNISFHLogke.QZ7WcvVInwiekTYaDMQxoJQXyC2//K,Hamad Al-Thani,manager,"[""read""]",active,,,,,,0,t,f,f,2025-11-03 17:35:37.7534,2025-11-03 17:35:37.7534,f,
16,manufacturingpro_developer,developer@manufacturingpro.com,$2b$10$sDiQJzdHX.I1UioO9claoOjx.QoWVawTSKMPBO.zKhgs.8lrk/lUe,Layla Al-Kuwari,developer,"[""read""]",active,,,,,,0,t,f,f,2025-11-03 17:35:37.7534,2025-11-03 17:35:37.7534,f,
17,manufacturingpro_user,user@manufacturingpro.com,$2b$10$LA2EBLTPHIVlaPFu7z7BMOw3lPLHY.DmzzeJ2Unmyi7YUb90ZfIai,Saeed Al-Marri,user,"[""read""]",active,,,,,,0,t,f,f,2025-11-03 17:35:37.7534,2025-11-03 17:35:37.7534,f,
18,manufacturingpro_viewer,viewer@manufacturingpro.com,$2b$10$2h0Nwqz5dyAcrFzPAC25NuZolYY4ZqLNrml0k.kAQkRLD32l8v/ki,Amina Al-Sulaiti,viewer,"[""read""]",active,,,,,,0,t,f,f,2025-11-03 17:35:37.7534,2025-11-03 17:35:37.7534,f,
19,retailexcellence_manager,manager@retailexcellence.com,$2b$10$YmyPxlNag1HMks3wOsbyweYtJch152Qhe0ckWWi2/s0WDF/b.qU2m,Yousef Al-Sabah,manager,"[""read""]",active,,,,,,0,t,f,f,2025-11-03 17:35:37.7534,2025-11-03 17:35:37.7534,f,
20,retailexcellence_developer,developer@retailexcellence.com,$2b$10$sRHrdCTgVfiBemfLFzUae.MrMNV8.jZX8dDTskCahdfvj88uX5MPe,Reem Al-Rashid,developer,"[""read""]",active,,,,,,0,t,f,f,2025-11-03 17:35:37.7534,2025-11-03 17:35:37.7534,f,
